epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87399,1.51059,3.64186,1.55346,0.00833,0.5,0.099,0.03555,0.47263,3.36034,0.76294,0,0,0
2,11.7351,1.24038,3.46046,1.44365,0.00855,0.5,0.099,0.04384,0.47134,3.35472,0.74436,1.35826e-05,1.35826e-05,1.35826e-05
3,15.9954,1.41792,3.22341,1.61525,0.00847,0.5,0.099,0.04261,0.44403,3.35028,0.73096,2.57506e-05,2.57506e-05,2.57506e-05
4,19.5176,1.32618,3.55591,1.41705,0.00855,0.5,0.0825,0.03982,0.43102,3.3492,0.71649,3.65038e-05,3.65038e-05,3.65038e-05
5,23.7186,1.2178,3.19838,1.51379,0.00855,0.5,0.0825,0.03982,0.43102,3.3492,0.71649,4.58423e-05,4.58423e-05,4.58423e-05
6,27.7846,1.32174,3.30861,1.38334,0.00847,0.5,0.0495,0.028,0.41384,3.35223,0.70999,5.37661e-05,5.37661e-05,5.37661e-05
7,31.6219,0.96399,2.89721,1.23651,0.00847,0.5,0.0495,0.028,0.41384,3.35223,0.70999,6.02752e-05,6.02752e-05,6.02752e-05
8,35.2775,1.18718,3.03151,1.46337,0.00855,0.5,0.04125,0.02007,0.38151,3.34035,0.71337,6.53696e-05,6.53696e-05,6.53696e-05
9,38.6237,1.43018,3.27527,1.62072,0.00855,0.5,0.04125,0.02007,0.38151,3.34035,0.71337,6.90493e-05,6.90493e-05,6.90493e-05
10,42.2138,0.80504,3.10615,1.15258,0.0087,0.5,0.03808,0.02245,0.39014,3.34674,0.71238,7.13142e-05,7.13142e-05,7.13142e-05
11,45.908,1.37873,3.67272,1.51056,0.0087,0.5,0.03808,0.02245,0.39014,3.34674,0.71238,7.21645e-05,7.21645e-05,7.21645e-05
12,49.269,0.99493,3.43746,1.33692,0.0087,0.5,0.03808,0.02245,0.39014,3.34674,0.71238,7.16e-05,7.16e-05,7.16e-05
13,52.7312,0.98359,3.79919,1.25872,0.0084,0.5,0.03536,0.02517,0.36752,3.34659,0.71827,6.96209e-05,6.96209e-05,6.96209e-05
14,56.0576,1.21506,3.41207,1.97783,0.0084,0.5,0.03536,0.02517,0.36752,3.34659,0.71827,6.6227e-05,6.6227e-05,6.6227e-05
15,60.3281,1.0903,3.27391,1.67017,0.0084,0.5,0.03536,0.02517,0.36752,3.34659,0.71827,6.14184e-05,6.14184e-05,6.14184e-05
16,63.9794,0.92762,3.62047,1.65687,0.00855,0.5,0.033,0.0198,0.35364,3.34839,0.71893,5.51951e-05,5.51951e-05,5.51951e-05
17,67.3964,0.74155,3.1397,1.10473,0.00855,0.5,0.033,0.0198,0.35364,3.34839,0.71893,4.75571e-05,4.75571e-05,4.75571e-05
18,70.7991,0.68128,3.46803,1.0673,0.00855,0.5,0.033,0.0198,0.35364,3.34839,0.71893,3.85044e-05,3.85044e-05,3.85044e-05
19,74.2242,1.1524,3.40357,1.2765,0.00855,0.5,0.033,0.0198,0.35364,3.34839,0.71893,2.8037e-05,2.8037e-05,2.8037e-05
20,77.6534,0.61542,3.21941,1.1906,0.0084,0.5,0.03536,0.02404,0.33529,3.34854,0.7187,1.61548e-05,1.61548e-05,1.61548e-05
